label,age
1.0,73
1.0,78
1.0,70
1.0,77
1.0,76
1.0,76
1.0,77
1.0,73
1.0,68
1.0,73
1.0,71
1.0,71
1.0,70
1.0,72
1.0,72
1.0,66
1.0,76
1.0,80
1.0,75
1.0,73
1.0,73
1.0,72
1.0,74
1.0,73
1.0,71
1.0,79
1.0,69
1.0,76
1.0,73
1.0,79
1.0,75
1.0,72
1.0,73
1.0,74
1.0,70
1.0,71
1.0,68
1.0,71
1.0,74
1.0,74
1.0,68
1.0,73
1.0,75
1.0,73
1.0,72
1.0,72
1.0,72
1.0,72
1.0,74
1.0,80
1.0,71
1.0,73
1.0,73
1.0,71
1.0,77
1.0,66
1.0,72
1.0,76
1.0,73
1.0,71
1.0,75
1.0,76
1.0,74
1.0,71
1.0,75
1.0,72
1.0,76
1.0,78
1.0,66
1.0,74
1.0,68
1.0,81
1.0,72
1.0,76
1.0,73
1.0,71
1.0,71
1.0,78
1.0,76
1.0,79
1.0,74
1.0,74
1.0,73
1.0,73
1.0,70
1.0,74
1.0,71
1.0,75
1.0,74
1.0,74
1.0,79
1.0,73
1.0,76
1.0,80
1.0,77
1.0,77
1.0,73
1.0,74
1.0,70
1.0,75
1.0,74
1.0,74
1.0,77
1.0,70
1.0,78
1.0,76
1.0,73
1.0,73
1.0,75
1.0,78
1.0,74
1.0,74
1.0,74
1.0,79
1.0,72
1.0,73
1.0,78
1.0,74
1.0,77
1.0,71
1.0,73
1.0,78
1.0,71
1.0,73
1.0,74
1.0,71
1.0,72
1.0,74
1.0,74
1.0,77
1.0,78
1.0,71
1.0,74
1.0,76
1.0,78
1.0,76
1.0,74
1.0,75
1.0,76
1.0,71
1.0,74
1.0,78
1.0,73
1.0,74
1.0,73
1.0,67
1.0,74
1.0,74
1.0,72
1.0,70
1.0,71
1.0,76
1.0,79
1.0,78
1.0,69
1.0,76
1.0,72
1.0,72
1.0,72
1.0,76
1.0,76
1.0,73
1.0,73
1.0,75
1.0,75
1.0,77
1.0,70
1.0,74
1.0,70
1.0,73
1.0,73
1.0,73
1.0,71
1.0,69
1.0,67
1.0,73
1.0,72
1.0,71
1.0,77
1.0,71
1.0,78
1.0,78
1.0,68
1.0,74
1.0,72
1.0,65
1.0,69
1.0,76
1.0,80
1.0,76
1.0,74
1.0,73
1.0,79
1.0,80
1.0,72
1.0,68
1.0,67
1.0,77
1.0,73
1.0,74
1.0,68
1.0,71
1.0,73
1.0,74
1.0,72
1.0,70
1.0,71
1.0,77
1.0,74
1.0,75
1.0,71
1.0,65
1.0,72
1.0,71
1.0,75
1.0,83
1.0,76
1.0,82
1.0,75
1.0,72
1.0,75
1.0,79
1.0,79
1.0,72
1.0,74
1.0,69
1.0,76
1.0,78
1.0,74
1.0,71
1.0,75
1.0,75
1.0,74
1.0,74
1.0,73
1.0,76
1.0,76
1.0,71
1.0,70
1.0,73
1.0,76
1.0,74
1.0,72
1.0,74
1.0,73
1.0,76
1.0,74
1.0,73
1.0,74
1.0,77
1.0,72
1.0,75
1.0,73
1.0,75
1.0,72
1.0,74
1.0,77
1.0,71
1.0,70
1.0,70
1.0,70
1.0,75
1.0,69
1.0,73
1.0,75
1.0,75
1.0,72
1.0,74
1.0,74
1.0,73
1.0,73
1.0,80
1.0,76
1.0,81
1.0,72
1.0,73
1.0,70
1.0,71
1.0,79
1.0,72
1.0,79
1.0,70
1.0,70
1.0,72
1.0,73
1.0,76
1.0,75
1.0,72
1.0,73
1.0,73
1.0,71
1.0,71
1.0,77
1.0,68
1.0,78
1.0,72
1.0,71
1.0,76
1.0,78
1.0,77
1.0,75
0.0,73
0.0,75
0.0,71
0.0,73
0.0,70
0.0,77
0.0,73
0.0,78
0.0,77
0.0,78
0.0,72
0.0,71
0.0,79
0.0,77
0.0,78
0.0,69
0.0,73
0.0,77
0.0,70
0.0,75
0.0,74
0.0,69
0.0,72
0.0,72
0.0,70
0.0,76
0.0,72
0.0,72
0.0,79
0.0,74
0.0,73
0.0,77
0.0,79
0.0,70
0.0,74
0.0,76
0.0,73
0.0,77
0.0,79
0.0,79
0.0,72
0.0,72
0.0,79
0.0,74
0.0,71
0.0,77
0.0,72
0.0,72
0.0,78
0.0,71
0.0,70
0.0,72
0.0,76
0.0,71
0.0,74
0.0,76
0.0,78
0.0,72
0.0,78
0.0,72
0.0,76
0.0,74
0.0,70
0.0,77
0.0,72
0.0,71
0.0,73
0.0,76
0.0,72
0.0,71
0.0,69
0.0,74
0.0,74
0.0,72
0.0,70
0.0,74
0.0,77
0.0,77
0.0,78
0.0,69
0.0,79
0.0,73
0.0,80
0.0,72
0.0,74
0.0,73
0.0,73
0.0,78
0.0,77
0.0,80
0.0,76
0.0,74
0.0,70
0.0,80
0.0,75
0.0,77
0.0,74
0.0,75
0.0,79
0.0,71
0.0,72
0.0,71
0.0,78
0.0,70
0.0,70
0.0,72
0.0,75
0.0,74
0.0,70
0.0,79
0.0,79
0.0,72
0.0,77
0.0,75
0.0,72
0.0,72
0.0,74
0.0,74
0.0,72
0.0,78
0.0,74
0.0,76
0.0,71
0.0,75
0.0,73
0.0,75
0.0,77
0.0,77
0.0,73
0.0,77
0.0,79
0.0,76
0.0,71
0.0,76
0.0,70
0.0,78
0.0,75
0.0,73
0.0,70
0.0,73
0.0,79
0.0,70
0.0,74
0.0,79
0.0,73
0.0,74
0.0,75
0.0,74
0.0,71
0.0,69
0.0,76
0.0,79
0.0,70
0.0,71
0.0,73
0.0,78
0.0,72
0.0,78
0.0,70
0.0,79
0.0,75
0.0,76
0.0,73
0.0,77
0.0,71
0.0,70
0.0,73
0.0,78
0.0,77
0.0,75
0.0,75
0.0,71
0.0,78
0.0,77
0.0,76
0.0,74
0.0,79
0.0,78
0.0,76
0.0,73
0.0,76
0.0,75
0.0,73
0.0,72
0.0,74
0.0,75
0.0,74
0.0,72
0.0,77
0.0,75
0.0,70
0.0,73
0.0,79
0.0,77
0.0,73
0.0,79
0.0,70
0.0,79
0.0,72
0.0,69
0.0,74
0.0,73
0.0,75
0.0,78
0.0,78
0.0,73
0.0,74
0.0,71
0.0,70
0.0,76
0.0,70
0.0,77
0.0,75
0.0,71
0.0,75
0.0,71
0.0,74
0.0,78
0.0,74
0.0,71
0.0,77
0.0,71
0.0,77
0.0,74
0.0,74
0.0,78
0.0,77
0.0,70
0.0,72
0.0,78
0.0,69
0.0,75
0.0,77
0.0,76
0.0,77
0.0,77
0.0,76
0.0,78
0.0,76
0.0,73
0.0,74
0.0,77
0.0,78
0.0,72
0.0,73
0.0,79
0.0,75
0.0,71
0.0,76
0.0,80
0.0,78
0.0,77
0.0,71
0.0,78
0.0,75
0.0,79
0.0,73
0.0,70
0.0,74
0.0,72
0.0,77
0.0,79
0.0,76
0.0,79
0.0,74
0.0,77
0.0,78
0.0,77
0.0,75
0.0,76
0.0,77
0.0,72
0.0,78
0.0,79
0.0,74
0.0,77
0.0,77
0.0,76
0.0,75
0.0,78
0.0,74
0.0,70
0.0,78
0.0,76
0.0,78
0.0,71
0.0,70
0.0,79
0.0,71
0.0,78
0.0,78
0.0,77
0.0,71
0.0,76
0.0,79
0.0,74
0.0,74
0.0,74
0.0,70
0.0,79
0.0,78
0.0,80
0.0,75
0.0,77
0.0,71
0.0,76
0.0,76
0.0,79
0.0,78
0.0,79
0.0,78
0.0,78
0.0,70
0.0,78
0.0,76
0.0,73
0.0,70
0.0,76
0.0,73
0.0,74
0.0,76
0.0,79
0.0,78
0.0,74
0.0,73
0.0,72
0.0,73
0.0,70
0.0,79
0.0,75
0.0,71
0.0,73
0.0,75
0.0,75
0.0,70
0.0,79
0.0,72
0.0,69
0.0,70
0.0,75
0.0,71
0.0,70
0.0,73
0.0,76
0.0,70
0.0,73
0.0,74
0.0,71
0.0,75
0.0,70
0.0,70
0.0,75
0.0,72
0.0,70
0.0,74
0.0,79
0.0,77
0.0,78
0.0,78
0.0,79
0.0,77
0.0,76
0.0,73
0.0,71
0.0,76
0.0,80
0.0,74
0.0,77
0.0,74
0.0,74
0.0,74
0.0,75
0.0,73
0.0,77
0.0,78
0.0,78
0.0,72
0.0,79
0.0,73
0.0,73
0.0,77
0.0,72
0.0,70
0.0,73
0.0,77
0.0,73
0.0,76
0.0,76
0.0,77
0.0,79
0.0,74
0.0,71
0.0,73
0.0,74
0.0,77
0.0,69
0.0,73
0.0,77
0.0,76
0.0,77
0.0,78
0.0,77
0.0,76
0.0,74
0.0,80
0.0,75
0.0,71
0.0,72
0.0,77
0.0,79
0.0,71
0.0,70
0.0,78
0.0,79
0.0,72
0.0,73
0.0,76
0.0,73
0.0,78
0.0,70
0.0,70
0.0,71
0.0,72
0.0,70
0.0,70
0.0,77
0.0,71
0.0,79
0.0,73
0.0,76
0.0,72
0.0,72
0.0,75
0.0,75
0.0,77
0.0,77
0.0,76
0.0,74
0.0,79
0.0,76
0.0,80
0.0,78
0.0,70
0.0,73
0.0,75
0.0,77
0.0,75
0.0,77
0.0,72
0.0,71
0.0,70
0.0,75
0.0,76
0.0,73
0.0,76
0.0,70
0.0,70
0.0,77
0.0,73
0.0,76
0.0,78
0.0,78
0.0,71
0.0,74
0.0,77
0.0,77
0.0,77
0.0,72
0.0,71
0.0,75
0.0,77
0.0,73
0.0,70
0.0,77
0.0,72
0.0,71
0.0,71
0.0,73
0.0,75
0.0,73
0.0,70
0.0,70
0.0,72
0.0,76
0.0,70
0.0,75
0.0,71
0.0,72
0.0,71
0.0,70
0.0,76
0.0,74
0.0,78
0.0,70
0.0,71
0.0,72
0.0,77
0.0,72
0.0,74
0.0,72
